status,error,catalog_id,resource_id,stage,grade,subject,version,volume,title,provider,size_bytes,md5,source_page,pdf_url,file_path
pending,,57156092-4f9c-80ff-8bd3-e28596e0c0db,57156092-4f9c-80ff-8bd3-e28596e0c0db,小学,三年级,体育与健康,人教版,全一册,（根据2022年版课程标准修订）义务教育教科书 体育与健康 三年级 全一册,人民教育出版社,5832761,4127bc7fe2b1176e84f27cb70fde2bbf,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=57156092-4f9c-80ff-8bd3-e28596e0c0db&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/57156092-4f9c-80ff-8bd3-e28596e0c0db.pkg/义务教育教科书 体育与健康 三年级 全一册.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\人教版\全一册_（根据2022年版课程标准修订）义务教育教科书 体育与健康 三年级 全一册_57156092.pdf
pending,,fff598a1-e01b-d6c3-0f6c-b6a1a03dd8cf,0dcfaaf2-cd84-09c7-252e-f4b68a38bf17,小学,三年级,体育与健康,冀教版,全一册,义务教育教科书•体育与健康 三年级（全一册）,河北教育出版社,23268220,d209dea519c7a627010594a4d0a53610,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=fff598a1-e01b-d6c3-0f6c-b6a1a03dd8cf&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/0dcfaaf2-cd84-09c7-252e-f4b68a38bf17.pkg/9787554590843_义务教育教科书•体育与健康_三年级_全一册_河北教育出版社.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\冀教版\全一册_义务教育教科书•体育与健康 三年级（全一册）_0dcfaaf2.pdf
pending,,d3466c12-0d0f-4638-9cd5-e89789962f80,d3466c12-0d0f-4638-9cd5-e89789962f80,小学,三年级,体育与健康,北京版,全一册,（根据2022年版课程标准修订）义务教育教科书体育与健康 三年级（全一册）,北京出版社,22401964,4e5e29c85884175a76d5e0499738b148,https://basic.smartedu.cn/tchMaterial/detail?contentType=assets_document&contentId=d3466c12-0d0f-4638-9cd5-e89789962f80&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/d3466c12-0d0f-4638-9cd5-e89789962f80.pkg/义务教育教科书•体育与健康_三年级_全一册_北京出版社_1754905708424.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\北京版\全一册_（根据2022年版课程标准修订）义务教育教科书体育与健康 三年级（全一册）_d3466c12.pdf
pending,,62fc6130-a41d-5b0e-dfe8-92e186ae91af,1e08faa7-eb83-789f-6571-36f88bd3462e,小学,三年级,体育与健康,华东师大版,全一册,义务教育教科书 学生用书 体育与健康 三年级（全一册）,华东师范大学出版社,47716705,b9e181d15139156f385f825cc9905a75,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=62fc6130-a41d-5b0e-dfe8-92e186ae91af&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/1e08faa7-eb83-789f-6571-36f88bd3462e.pkg/义务教育教科书 学生用书 体育与健康 三年级（全一册）.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\华东师大版\全一册_义务教育教科书 学生用书 体育与健康 三年级（全一册）_1e08faa7.pdf
pending,,5900111c-a8a1-d558-0993-33b0ca23796c,b07ab1c2-43d7-8e0e-2ffd-cc46297934ca,小学,三年级,体育与健康,华中师大版,全一册,义务教育教科书• 体育与健康学生用书 三年级（全一册）,华中师范大学出版社,36092914,fef2447c75597fb435e201e1d0e1c1b6,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=5900111c-a8a1-d558-0993-33b0ca23796c&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/b07ab1c2-43d7-8e0e-2ffd-cc46297934ca.pkg/9787576911220_义务教育教科书•体育与健康_三年级_全一册_华中师范大学出版社.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\华中师大版\全一册_义务教育教科书• 体育与健康学生用书 三年级（全一册）_b07ab1c2.pdf
pending,,532cccb4-1616-1390-9b19-d7a500900952,b393d6e0-7c9b-1913-6398-7b93356cb633,小学,三年级,体育与健康,地质社版,全一册,义务教育教科书•体育与健康 学生用书 三年级（全一册）,地质出版社,36766020,04ad255b47d2cfa4bd5f56b6632f2d50,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=532cccb4-1616-1390-9b19-d7a500900952&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/b393d6e0-7c9b-1913-6398-7b93356cb633.pkg/义务教育教科书 体育与健康 三年级 全一册.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\地质社版\全一册_义务教育教科书•体育与健康 学生用书 三年级（全一册）_b393d6e0.pdf
pending,,ed232a1d-d90d-0839-2f15-46f362ebf5b1,251c703b-6dd1-69cc-0c07-39aed0a6174b,小学,三年级,体育与健康,教科版,全一册,义务教育教科书•体育与健康 学生用书 三年级（全一册）,教育科学出版社,79700223,23967ae23444f6b9a76d6850d7c40a1c,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=ed232a1d-d90d-0839-2f15-46f362ebf5b1&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/251c703b-6dd1-69cc-0c07-39aed0a6174b.pkg/教材-义务教育教科书•体育与健康_三年级_全一册_教育科学出版社.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\教科版\全一册_义务教育教科书•体育与健康 学生用书 三年级（全一册）_251c703b.pdf
pending,,3d0fc614-4181-2201-cc46-24701992054a,aaba4565-4f99-bf81-6f56-da4e5e1916a0,小学,三年级,体育与健康,未来社版,全一册,义务教育教科书•体育与健康 学生用书 三年级（全一册）,未来出版社,51448679,eba4afed4726cb7e297e0edc27f10c81,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=3d0fc614-4181-2201-cc46-24701992054a&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/assets/aaba4565-4f99-bf81-6f56-da4e5e1916a0.pkg/教材-义务教育教科书体育与健康三年级（全一册）.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\未来社版\全一册_义务教育教科书•体育与健康 学生用书 三年级（全一册）_aaba4565.pdf
pending,,c67232a7-ce98-d1d3-bbc6-b96f3c5a8414,b4f865fa-3203-4481-a30e-6610934519c1,小学（五•四学制）,三年级,体育与健康,沪教版,全一册,义务教育教科书（五•四学制）•体育与健康 学生用书 三年级（全一册）,上海教育出版社,18476462,9379eb75e39cf03b58a454a0a3cbe11f,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=c67232a7-ce98-d1d3-bbc6-b96f3c5a8414&catalogType=tchMaterial&subCatalog=tchMaterial,https://r1-ndr-private.ykt.cbern.com.cn/edu_product/esp/thematic_course/c67232a7-ce98-d1d3-bbc6-b96f3c5a8414.pkg/义务教育教科书（五•四学制）•体育与健康_三年级_一年级至九年级（各全一册）_上海教育出版社.pdf,D:\project\步步原型设计\学生端\教材PDF\小学3-6年级_国家平台\三年级\体育与健康\沪教版\全一册_义务教育教科书（五•四学制）•体育与健康 学生用书 三年级（全一册）_b4f865fa.pdf
metadata_error,<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)>,d1aab735-7ee8-9fc0-a8f4-feccf476f915,,小学,三年级,体育与健康,科学社版,全一册,（根据2022年版课程标准修订）义务教育教科书•体育与健康 三年级（全一册）,,0,,https://basic.smartedu.cn/tchMaterial/detail?contentType=thematic_course&contentId=d1aab735-7ee8-9fc0-a8f4-feccf476f915&catalogType=tchMaterial&subCatalog=tchMaterial,,
